ID,SMILES
L1,P([C-]12[Fe+2]3456789(C1([C@H](P(C%10CCCCC%10)C%11CCCCC%11)C)=[CH]3C4(=C52[H])[H])[CH-]%12[CH]6=[CH]7[CH]8=[CH]9%12)(C%13=CC=CC=C%13)C%14=CC=CC=C%14
L2,P([C-]12[Fe+2]3456789(C1([C@H](P(C(C)(C)C)C(C)(C)C)C)=[CH]3C4(=C52[H])[H])[CH-]%10[CH]6=[CH]7[CH]8=[CH]9%10)(C%11=CC=CC=C%11)C%12=CC=CC=C%12
L3,P([C-]12[Fe+2]3456789(C1([C@H](P(C%10CCCCC%10)C%11CCCCC%11)C)=[CH]3C4(=C52[H])[H])[CH-]%12[CH]6=[CH]7[CH]8=[CH]9%12)(C%13CCCCC%13)C%14CCCCC%14
L4,P([C-]12[Fe+2]3456789(C1([C@H](P(C%10=CC=CC=C%10)C%11=CC=CC=C%11)C)=[CH]3C4(=C52[H])[H])[CH-]%12[CH]6=[CH]7[CH]8=[CH]9%12)(C%13CCCCC%13)C%14CCCCC%14
L5,P([C-]12[Fe+2]3456789(C1([C@H](P(C%10=CC(C)=CC(C)=C%10)C%11=CC(C)=CC(C)=C%11)C)=[CH]3C4(=C52[H])[H])[CH-]%12[CH]6=[CH]7[CH]8=[CH]9%12)(C%13=CC=CC=C%13)C%14=CC=CC=C%14
L6,P([C-]12[Fe+2]3456789(C1([C@H](P(C%10CCCCC%10)C%11CCCCC%11)C)=[CH]3C4(=C52[H])[H])[CH-]%12[CH]6=[CH]7[CH]8=[CH]9%12)(C%13=CC(C(F)(F)F)=CC(C(F)(F)F)=C%13)C%14=CC(C(F)(F)F)=CC(C(F)(F)F)=C%14
L7,P([C-]12[Fe+2]3456789(C1([C@H](P(C%10CCCCC%10)C%11CCCCC%11)C)=[CH]3C4(=C52[H])[H])[CH-]%12[CH]6=[CH]7[CH]8=[CH]9%12)(C%13=CC(C)=C(OC)C(C)=C%13)C%14=CC(C)=C(OC)C(C)=C%14
L8,P([C-]12[Fe+2]3456789(C1([C@H](P(C%10=CC(C)=CC(C)=C%10)C%11=CC(C)=CC(C)=C%11)C)=[CH]3C4(=C52[H])[H])[CH-]%12[CH]6=[CH]7[CH]8=[CH]9%12)(C%13=CC(C(F)(F)F)=CC(C(F)(F)F)=C%13)C%14=CC(C(F)(F)F)=CC(C(F)(F)F)=C%14
L9,P([C-]12[Fe+2]3456789(C1([C@H](P(C(C)(C)C)C(C)(C)C)C)=[CH]3C4(=C52[H])[H])[CH-]%10[CH]6=[CH]7[CH]8=[CH]9%10)(C%11CCCCC%11)C%12CCCCC%12
L10,P([C-]12[Fe+2]3456789(C1([C@H](P(C(C)(C)C)C(C)(C)C)C)=[CH]3C4(=C52[H])[H])[CH-]%10[CH]6=[CH]7[CH]8=[CH]9%10)(C%11=CC=C(C(F)(F)F)C=C%11)C%12=CC=C(C(F)(F)F)C=C%12
L11,P([C-]12[Fe+2]3456789(C1([C@H](P(C(C)(C)C)C(C)(C)C)C)=[CH]3C4(=C52[H])[H])[CH-]%10[CH]6=[CH]7[CH]8=[CH]9%10)(C%11=CC(C)=C(OC)C(C)=C%11)C%12=CC(C)=C(OC)C(C)=C%12
L12,P([C-]12[Fe+2]3456789(C1([C@H](P(C(C)(C)C)C(C)(C)C)C)=[CH]3C4(=C52[H])[H])[CH-]%10[CH]6=[CH]7[CH]8=[CH]9%10)(C%11=CC=CO%11)C%12=CC=CO%12
L13,P([C-]12[Fe+2]3456789(C1([C@H](P(C%10=CC(C)=CC(C)=C%10)C%11=CC(C)=CC(C)=C%11)C)=[CH]3C4(=C52[H])[H])[CH-]%12[CH]6=[CH]7[CH]8=[CH]9%12)(C=%13C%14=C(C=CC%13)C=CC=C%14)C=%15C%16=C(C=CC%15)C=CC=C%16
L14,P([C-]12[Fe+2]3456789(C1([C@H](P(C%10=CC(C)=CC(C)=C%10)C%11=CC(C)=CC(C)=C%11)C)=[CH]3C4(=C52[H])[H])[CH-]%12[CH]6=[CH]7[CH]8=[CH]9%12)(C%13=CC(C)=C(OC)C(C)=C%13)C%14=CC(C)=C(OC)C(C)=C%14
L15,P([C-]12[Fe+2]3456789(C1([C@H](P(C%10=C(C)C=CC=C%10)C%11=C(C)C=CC=C%11)C)=[CH]3C4(=C52[H])[H])[CH-]%12[CH]6=[CH]7[CH]8=[CH]9%12)(C%13=CC=CO%13)C%14=CC=CO%14
L16,[C@@H](P(C1=CC=CC=C1)C2=CC=CC=C2)(C)C3=4[Fe+2]56789%10%11([C-]3(P(C(C)(C)C)C(C)(C)C)[CH]5=C6(C74[H])[H])[CH-]%12[CH]8=[CH]9[CH]%10=[CH]%11%12
L17,C=1C=CC(=CC1)P(NC2=CC=C3C=CC=CC3=C2C4=C(C=CC=5C=CC=CC54)NP(C=6C=CC=CC6)C=7C=CC=CC7)C=8C=CC=CC8
L18,[C@@H](P(C1=C(C)C=CC=C1)C2=C(C)C=CC=C2)(C)C3=4[Fe+2]56789%10%11([C-]3(P(C(C)(C)C)C(C)(C)C)C5(=[CH]6C74[H])[H])[CH-]%12[CH]8=[CH]9[CH]%10=[CH]%11%12
L19,P([C-]12[Fe+2]3456789(C1([C@@H](N(C)C)C%10=C(P(C%11CCCCC%11)C%12CCCCC%12)C=CC=C%10)=[CH]3C4(=C52[H])[H])[CH-]%13[CH]6=[CH]7[CH]8=[CH]9%13)(C%14CCCCC%14)C%15CCCCC%15
L20,P([C-]12[Fe+2]3456789([C-]%10(P(C%11=CC=CC=C%11)C%12=CC=CC=C%12)C3([C@H](N(C)C)C%13=CC=CC=C%13)=C4([CH]5=C6%10[H])[H])C1([C@H](N(C)C)C%14=CC=CC=C%14)=[CH]7C8(=C92[H])[H])(C%15=CC=CC=C%15)C%16=CC=CC=C%16
L21,P([C-]12[Fe+2]3456789([C-]%10(P(C%11=CC(C(F)(F)F)=CC(C(F)(F)F)=C%11)C%12=CC(C(F)(F)F)=CC(C(F)(F)F)=C%12)C3([C@H](N(C)C)C%13=CC=CC=C%13)=C4([CH]5=C6%10[H])[H])C1([C@H](N(C)C)C%14=CC=CC=C%14)=[CH]7C8(=C92[H])[H])(C%15=CC(C(F)(F)F)=CC(C(F)(F)F)=C%15)C%16=CC(C(F)(F)F)=CC(C(F)(F)F)=C%16
L22,P([C-]12[Fe+2]3456789([C-]%10(P(C%11=CC(C)=C(OC)C(C)=C%11)C%12=CC(C)=C(OC)C(C)=C%12)C3([C@H](N(C)C)C%13=CC=CC=C%13)=C4([CH]5=C6%10[H])[H])C1([C@H](N(C)C)C%14=CC=CC=C%14)=[CH]7C8(=C92[H])[H])(C%15=CC(C)=C(OC)C(C)=C%15)C%16=CC(C)=C(OC)C(C)=C%16
L23,P([C-]12[Fe+2]3456789([C-]%10(P(C%11=CC(C)=CC(C)=C%11)C%12=CC(C)=CC(C)=C%12)C3([C@H](N(C)C)C%13=CC=CC=C%13)=C4([CH]5=C6%10[H])[H])C1([C@H](N(C)C)C%14=CC=CC=C%14)=[CH]7C8(=C92[H])[H])(C%15=CC(C)=CC(C)=C%15)C%16=CC(C)=CC(C)=C%16
L24,P([C-]12[Fe+2]3456789(C1([C@@H](N(C)C)C%10=C(P(C%11=CC=CC=C%11)C%12=CC=CC=C%12)C=CC=C%10)=[CH]3C4(=C52[H])[H])[CH-]%13[CH]6=[CH]7[CH]8=[CH]9%13)(C%14=CC=CC=C%14)C%15=CC=CC=C%15
L25,[C@@H](P(C1=CC(C(F)(F)F)=CC(C(F)(F)F)=C1)C2=CC(C(F)(F)F)=CC(C(F)(F)F)=C2)(C)[C-]34[Fe+2]56789%10%11(C3(=[CH]5[CH]6=[CH]74)C%12=C(P(C%13=CC=CC=C%13)C%14=CC=CC=C%14)C=CC=C%12)[CH-]%15[CH]8=[CH]9[CH]%10=[CH]%11%15
L26,[C@@H](P(C1=CC=CC=C1)C2=CC=CC=C2)(C)[C-]34[Fe+2]56789%10%11(C3(=C5(C6(=[CH]74)[H])[H])C%12=C(P(C%13=CC=CC=C%13)C%14=CC=CC=C%14)C=CC=C%12)[CH-]%15[CH]8=[CH]9[CH]%10=[CH]%11%15
L27,[C@H](P(C1CCCCC1)C2CCCCC2)(C)[C-]34[Fe+2]56789%10%11(C3(=C5(C6(=[CH]74)[H])[H])C%12=C(P(C%13=CC=CC=C%13)C%14=CC=CC=C%14)C=CC=C%12)[CH-]%15[CH]8=[CH]9[CH]%10=[CH]%11%15
L28,[C@H](P(C1=CC(C(F)(F)F)=CC(C(F)(F)F)=C1)C2=CC(C(F)(F)F)=CC(C(F)(F)F)=C2)(C)[C-]34[Fe+2]56789%10%11(C3(=[CH]5[CH]6=[CH]74)C%12=C(P(C%13=CC(C)=C(OC)C(C)=C%13)C%14=CC(C)=C(OC)C(C)=C%14)C=CC=C%12)[CH-]%15[CH]8=[CH]9[CH]%10=[CH]%11%15
L29,[C@H](P(C1=CC(C(F)(F)F)=CC(C(F)(F)F)=C1)C2=CC(C(F)(F)F)=CC(C(F)(F)F)=C2)(C)[C-]34[Fe+2]56789%10%11(C3(=[CH]5[CH]6=[CH]74)C%12=C(P(C%13CCCCC%13)C%14CCCCC%14)C=CC=C%12)[CH-]%15[CH]8=[CH]9[CH]%10=[CH]%11%15
L30,[C@@H](P(C1=CC(C)=CC(C)=C1)C2=CC(C)=CC(C)=C2)(C)[C-]34[Fe+2]56789%10%11(C3(=[CH]5[CH]6=[CH]74)C%12=C(P(C%13=CC(C)=CC(C)=C%13)C%14=CC(C)=CC(C)=C%14)C=CC=C%12)[CH-]%15[CH]8=[CH]9[CH]%10=[CH]%11%15
L31,[P@]([C-]12[Fe+2]3456789([C-]%10(P(C%11CCCCC%11)C%12CCCCC%12)[CH]3=[CH]4[CH]5=[CH]6%10)[CH]1=[CH]7[CH]8=[CH]92)([C-]%13%14[Fe+2]%15%16%17%18%19%20%21(C%13([C@H](N(C)C)C)=[CH]%15C%16(=C%14%17[H])[H])[CH-]%22[CH]%18=[CH]%19[CH]%20=[CH]%21%22)C%23=CC=CC=C%23
L32,C=1C=CC(=CC1)P(C=2C=CC=CC2)C3=CC=C4C=CC=CC4=C3C=5C=6C=CC=CC6C=CC5P(C=7C=CC=CC7)C=8C=CC=CC8
L33,FC(F)(F)C1=CC(=CC(=C1)C(F)(F)F)P(C=2C=C(C=C(C2)C(F)(F)F)C(F)(F)F)C3=CC(OC)=CC(OC)=C3C4=C(OC)C=C(OC)C=C4P(C=5C=C(C=C(C5)C(F)(F)F)C(F)(F)F)C=6C=C(C=C(C6)C(F)(F)F)C(F)(F)F
L34,C=1C=CC=2C(C1)=CC=C(C2C=3C=4C=CC=CC4C=CC3P(C5=CC=C(C=C5)C)C6=CC=C(C=C6)C)P(C7=CC=C(C=C7)C)C8=CC=C(C=C8)C
L35,C=1C=CC=2C(C1)=CC=C(C2C=3C=4C=CC=CC4C=CC3P(C=5C=C(C=C(C5)C)C)C=6C=C(C=C(C6)C)C)P(C=7C=C(C=C(C7)C)C)C=8C=C(C=C(C8)C)C
L36,C=1C=CC(=CC1)P(C=2C=CC=CC2)C3=CC=C4C(=C3C=5C(=CC=C6C5CCCC6)P(C=7C=CC=CC7)C=8C=CC=CC8)CCCC4
L37,O1C2=CC=C(C(=C2OC1)C=3C=4OCOC4C=CC3P(C=5C=CC=CC5)C=6C=CC=CC6)P(C=7C=CC=CC7)C=8C=CC=CC8
L38,O1C2=CC=C(C(=C2OC1)C=3C=4OCOC4C=CC3P(C=5C=C(C=C(C5)C)C)C=6C=C(C=C(C6)C)C)P(C=7C=C(C=C(C7)C)C)C=8C=C(C=C(C8)C)C
L39,O(C=1C(=CC(=CC1C(C)(C)C)P(C=2C=C(C(OC)=C(C2)C(C)(C)C)C(C)(C)C)C3=CC=C4OCOC4=C3C=5C=6OCOC6C=CC5P(C=7C=C(C(OC)=C(C7)C(C)(C)C)C(C)(C)C)C=8C=C(C(OC)=C(C8)C(C)(C)C)C(C)(C)C)C(C)(C)C)C
L40,ClC1=CC=C(C(=C1OC)C=2C(OC)=C(Cl)C=CC2P(C=3C=CC=CC3)C=4C=CC=CC4)P(C=5C=CC=CC5)C=6C=CC=CC6
L41,O(C1=CC=CC(=C1C=2C(OC)=CC=CC2P(C=3C=C(C(OC)=C(C3)C(C)(C)C)C(C)(C)C)C=4C=C(C(OC)=C(C4)C(C)(C)C)C(C)(C)C)P(C=5C=C(C(OC)=C(C5)C(C)(C)C)C(C)(C)C)C=6C=C(C(OC)=C(C6)C(C)(C)C)C(C)(C)C)C
L42,O(C1=CC=CC(=C1C=2C(OC)=CC=CC2P(C=3C=C(C=C(C3)C)C)C=4C=C(C=C(C4)C)C)P(C=5C=C(C=C(C5)C)C)C=6C=C(C=C(C6)C)C)C
L43,O(C1=CC=CC(=C1C=2C(OC)=CC=CC2P(C=3C=C(C(=C(C3)C(C)C)N(C)C)C(C)C)C=4C=C(C(=C(C4)C(C)C)N(C)C)C(C)C)P(C=5C=C(C(=C(C5)C(C)C)N(C)C)C(C)C)C=6C=C(C(=C(C6)C(C)C)N(C)C)C(C)C)C
L44,O1C=CC=C1P(C=2OC=CC2)C=3C=CC=C(OC)C3C=4C(OC)=CC=CC4P(C=5OC=CC5)C=6OC=CC6
L45,O(C1=CC=CC(=C1C=2C(OC)=CC=CC2P(C3=CC=C(C=C3)C)C4=CC=C(C=C4)C)P(C5=CC=C(C=C5)C)C6=CC=C(C=C6)C)C
L46,O(C1=CC=CC(=C1C=2C(OC)=CC=CC2P(C=3C=C(C=C(C3)C(C)(C)C)C(C)(C)C)C=4C=C(C=C(C4)C(C)(C)C)C(C)(C)C)P(C=5C=C(C=C(C5)C(C)(C)C)C(C)(C)C)C=6C=C(C=C(C6)C(C)(C)C)C(C)(C)C)C
L47,O(C=1C=C(C=C(OC)C1OC)P(C2=CC(OC)=C(OC)C(OC)=C2)C=3C=CC=C(OC)C3C=4C(OC)=CC=CC4P(C5=CC(OC)=C(OC)C(OC)=C5)C6=CC(OC)=C(OC)C(OC)=C6)C
L48,O(C1=CC(OC)=C(C(=C1)P(C=2C=CC=CC2)C=3C=CC=CC3)C4=C(OC)C=C(OC)C=C4P(C=5C=CC=CC5)C=6C=CC=CC6)C
L49,O(C1=CC(OC)=C(C(=C1)P(C=2C=C(C=C(C2)C)C)C=3C=C(C=C(C3)C)C)C4=C(OC)C=C(OC)C=C4P(C=5C=C(C=C(C5)C)C)C=6C=C(C=C(C6)C)C)C
L50,O(C1=CC(OC)=C(C(=C1)P(C=2C=C(C(OC)=C(C2)C(C)(C)C)C(C)(C)C)C=3C=C(C(OC)=C(C3)C(C)(C)C)C(C)(C)C)C4=C(OC)C=C(OC)C=C4P(C=5C=C(C(OC)=C(C5)C(C)(C)C)C(C)(C)C)C=6C=C(C(OC)=C(C6)C(C)(C)C)C(C)(C)C)C
L51,O(C1=CC=CC(=C1C=2C(OC)=CC=CC2P(C(C)C)C(C)C)P(C(C)C)C(C)C)C
L52,O1C2=CC=CC(=C2C=3C(OCCC1)=CC=CC3P(C=4C=CC=CC4)C=5C=CC=CC5)P(C=6C=CC=CC6)C=7C=CC=CC7
L53,C(C[P@]1[C@H]([C@H](C)C)CC[C@H]1C(C)C)[P@]2[C@H]([C@H](C)C)CC[C@H]2C(C)C
L54,CC[C@@H](O1)C2=C([C@]31C4=C([C@@H](CC)O3)C=CC=C4P(C5=CC=CC=C5)C6=CC=CC=C6)C(P(C7=CC=CC=C7)C8=CC=CC=C8)=CC=C2
L55,C(C)(C)(C)[P@@]1[C@](C=2C(C1)=CC=CC2)([C@]3(C=4C(C[P@@]3C(C)(C)C)=CC=CC4)[H])[H]
L56,[P@](CC[P@@](C1=C(OC)C=CC=C1)C2=CC=CC=C2)(C3=C(OC)C=CC=C3)C4=CC=CC=C4
L57,P(C1=C(C=CC=C1)C2=N[C@H](C(C)C)CO2)(C3=CC=CC=C3)C4=CC=CC=C4
L58,[P@]([C-]12[Fe+2]3456789([C-]%10([P@@]([C-]%11%12[Fe+2]%13%14%15%16%17%18%19(C%11([C@H](N(C)C)C)=[CH]%13C%14(=C%12%15[H])[H])[CH-]%20[CH]%16=[CH]%17[CH]%18=[CH]%19%20)C%21=CC=CC=C%21)[CH]3=[CH]4[CH]5=[CH]6%10)[CH]1=[CH]7[CH]8=[CH]92)([C-]%22%23[Fe+2]%24%25%26%27%28%29%30(C%22([C@H](N(C)C)C)=[CH]%24C%25(=C%23%26[H])[H])[CH-]%31[CH]%27=[CH]%28[CH]%29=[CH]%30%31)C%32=CC=CC=C%32
L59,C=1C=C(C2=C(C1)CCC23C=4C(=CC=CC4CC3)P(C=5C=C(C=C(C5)C)C)C=6C=C(C=C(C6)C)C)P(C=7C=C(C=C(C7)C)C)C=8C=C(C=C(C8)C)C
L60,O1C2=C(C=C3C=CC=CC3=C2C4=C(OP1N(C)C)C(=CC=5C=CC=CC54)C)C
L61,O1C2=C(C=C3C=CC=CC3=C2C4=C(OP1N(C)C)C(=CC=5C=CC=CC54)C=6C=CC=CC6)C=7C=CC=CC7
L62,O1C=2C=CC=3C=CC=CC3C2C4=C(OP1N(CC)CC)C=CC=5C=CC=CC54
L63,O1C=2C(=CC=CC2CC3CCCC4CC=5C=CC=C(C5OC134)P(C=6C=C(C=C(C6)C)C)C=7C=C(C=C(C7)C)C)P(C=8C=C(C=C(C8)C)C)C=9C=C(C=C(C9)C)C
L64,C(C[P@]1[C@](CC[C@@]1(C2=CC=CC=C2)[H])(C3=CC=CC=C3)[H])[P@]4[C@](CC[C@@]4(C5=CC=CC=C5)[H])(C6=CC=CC=C6)[H]
L65,P([C@H]([C@@H](P(C1=CC=CC=C1)C2=CC=CC=C2)C)C)(C3=CC=CC=C3)C4=CC=CC=C4
L66,C(C[P@@]1[C@H](CC)CC[C@H]1CC)[P@]2[C@H](CC)CC[C@H]2CC
L67,[P@](C(C)(C)C)(C)C=1C([P@@](C(C)(C)C)C)=NC2=C(N1)C=CC=C2
L68,C(C)[C@H]1[P@]([C@H](CC)CC1)C2=C(C=CC=C2)[P@@]3[C@H](CC)CC[C@H]3CC
L69,C[C@H]1[P@](C2=C(C=CC=C2)[P@@]3[C@H](C)CC[C@H]3C)[C@H](C)CC1
L70,C=1C=CC(=CC1)P(C=2C=CC=CC2)C3=CC4=CC=C3CCC5=CC=C(C(=C5)P(C=6C=CC=CC6)C=7C=CC=CC7)CC4
L71,P(C1=C(C=CC=C1)C2=N[C@@H]([C@H](C)C)C(C)(C)O2)(C3=CC=CC=C3)C4=CC=CC=C4
L72,P([C-]12[Fe+2]3456789(C1(=[CH]3C4(=C52[H])[H])C%10=N[C@@H](C(C)C)CO%10)[CH-]%11[CH]6=[CH]7[CH]8=[CH]9%11)(C%12=CC=CC=C%12)C%13=CC=CC=C%13
L73,P(CC(C)(C)C1=N[C@@H]([C@@H](C)C)CO1)(C2=CC=CC=C2)C3=CC=CC=C3
L74,P([C-]12[Fe+2]3456789(C1([C@H](N(P(C%10=CC=CC=C%10)C%11=CC=CC=C%11)C)C)=[CH]3C4(=C52[H])[H])[CH-]%12[CH]6=[CH]7[CH]8=[CH]9%12)(C%13=CC=CC=C%13)C%14=CC=CC=C%14
L75,C=1C=C2C(=CC1CCC3=CC=C(C=C3P(C=4C=C(C=C(C4)C)C)C=5C=C(C=C(C5)C)C)CC2)P(C=6C=C(C=C(C6)C)C)C=7C=C(C=C(C7)C)C
L76,C=1C=CC2=C(C1)C=CC3=C2C4=C5C=CC=CC5=CC=C4CP(C3)[C-]67[CH]8=[CH]9[CH]%10=[CH]6[Fe+2]9%10%11%12%13%1487[CH]=%15[CH]%14=[CH]%13[C-]%12(P%16CC=%17C=CC=%18C=CC=CC%18C%17C%19=C%20C=CC=CC%20=CC=C%19C%16)[CH]%15%11
L77,P([C@@H](C[C@H](P(C1=CC=CC=C1)C2=CC=CC=C2)C)C)(C3=CC=CC=C3)C4=CC=CC=C4
L78,P([C@H]1[C@H]([P@@](C2=CC=CC=C2)C3=CC=CC=C3)[C@@H]4C[C@H]1C=C4)(C5=CC=CC=C5)C6=CC=CC=C6
L79,P([C-]12[Fe+2]3456789(C1([C@H](N(C)C)C)=[CH]3C4(=C52[H])[H])[C-]%10(P(C%11=CC=CC=C%11)C%12=CC=CC=C%12)[CH]6=[CH]7[CH]8=[CH]9%10)(C%13=CC=CC=C%13)C%14=CC=CC=C%14
L80,P(C[C@H]1[C@H](CP(C2=CC=CC=C2)C3=CC=CC=C3)OC(C)(C)O1)(C4=CC=CC=C4)C5=CC=CC=C5
L81,P(C1=C(C=CC=C1)C2=N[C@@H]([C@@](C)(C)C)CO2)(C3=C(C)C=CC=C3)C4=C(C)C=CC=C4
L82,[P@@](C1=C(OC2=C([P@](C3=C(OC)C=CC=C3)C4=CC=CC=C4)C=CC=C2)C=CC=C1)(C5=C(OC)C=CC=C5)C6=CC=CC=C6
L83,P([C@@H]1[C@H](C(C)C)CC[C@@H](C)C1)(C2=CC=CC=C2)C3=CC=CC=C3
L84,C(C)(C)(C)[P@]1C2=C(C=CC=C2OC1)C3=C4[P@](C(C)(C)C)COC4=CC=C3
L85,C(C)(C)(C)[P@]1C2=C(C=CC=C2O[C@@H]1C)C3=C4[P@](C(C)(C)C)[C@@H](C)OC4=CC=C3
L86,C(C)(C)(C)[P@]1C2=C(C=CC=C2O[C@@H]1[C@@H](C)C)C3=C4[P@](C(C)(C)C)[C@@H]([C@H](C)C)OC4=CC=C3
